common names,formulae
node,node
python,python@3.11
git,git
awscli,awscli
python,python@3.10
pyenv,pyenv
cmake,cmake
wget,wget
python,python@3.9
openssl,openssl@1.1
imagemagick,imagemagick
harfbuzz,harfbuzz
curl,curl
gh,gh
glib,glib
go,go
ffmpeg,ffmpeg
openssl,openssl@3
gcc,gcc
php,php
openjdk,openjdk
watchman,watchman
postgresql,postgresql@14
gnutls,gnutls
mysql,mysql
coreutils,coreutils
unbound,unbound
jpeg-xl,jpeg-xl
gnupg,gnupg
jq,jq
graphviz,graphviz
docker,docker
nvm,nvm
webp,webp
tesseract,tesseract
kubernetes,kubernetes-cli
redis,redis
xz,xz
maven,maven
qemu,qemu
ruby,ruby
helm,helm
cocoapods,cocoapods
libpq,libpq
krb5,krb5
llvm,llvm
librsvg,librsvg
gobject-introspection,gobject-introspection
aom,aom
rust,rust
tcl-tk,tcl-tk
vim,vim
neovim,neovim
azure-cli,azure-cli
python,python@3.8
ansible,ansible
terraform,terraform
protobuf,protobuf
libyaml,libyaml
swiftlint,swiftlint
ruby-build,ruby-build
gnu-tar,gnu-tar
nghttp2,nghttp2
little-cms2,little-cms2
ghostscript,ghostscript
freetds,freetds
folly,folly
openjdk,openjdk@11
telnet,telnet
node,node@16
libheif,libheif
libtiff,libtiff
nmap,nmap
docker-compose,docker-compose
fb303,fb303
boost,boost
fbthrift,fbthrift
tmux,tmux
fizz,fizz
tree,tree
composer,composer
gradle,gradle
wangle,wangle
yarn,yarn
xcbeautify,xcbeautify
git-lfs,git-lfs
gd,gd
fzf,fzf
automake,automake
libssh2,libssh2
mongosh,mongosh
sqlite,sqlite
qt,qt
nginx,nginx
yq,yq
poppler,poppler
openldap,openldap
applesimutils,wix/brew/applesimutils
terragrunt,terragrunt
pandoc,pandoc
netpbm,netpbm
pango,pango
pnpm,pnpm
mkcert,mkcert
zstd,zstd
zlib,zlib
the_silver_searcher,the_silver_searcher
pipenv,pipenv
pkg-config,pkg-config
edencommon,edencommon
terraform,hashicorp/tap/terraform
openjdk,openjdk@17
libxml2,libxml2
gdk-pixbuf,gdk-pixbuf
p11-kit,p11-kit
mysql,mysql-client
leptonica,leptonica
kustomize,kustomize
libfido2,libfido2
rbenv,rbenv
tfenv,tfenv
qt,qt@5
pre-commit,pre-commit
mongodb,mongodb/brew/mongodb-community
hugo,hugo
podman,podman
numpy,numpy
minikube,minikube
virtualenv,virtualenv
libtool,libtool
libarchive,libarchive
ca-certificates,ca-certificates
openjpeg,openjpeg
libevent,libevent
yt-dlp,yt-dlp
deno,deno
mint,mint
flyctl,flyctl
libass,libass
ccache,ccache
htop,htop
zsh,zsh
docutils,docutils
srt,srt
flux,fluxcd/tap/flux
node,node@14
postgresql,node@18
opencv,postgresql@15
openblas,opencv
poetry,openblas
asdf,poetry
apr-util,asdf
httpd,apr-util
colima,httpd
wimlib,colima
golangci-lint,wimlib
fastlane,golangci-lint
argocd,fastlane
freetype,argocd
guile,freetype
lima,guile
gdal,lima
php,gdal
subversion,php@8.1
libidn2,subversion
shivammathur/php,libidn2
libomp,shivammathur/php/php@7.4
sdl2,libomp
aws-sam-cli,sdl2
starship,aws/tap/aws-sam-cli
hdf5,starship
jupyterlab,hdf5
heroku,jupyterlab
mysql,heroku/brew/heroku
libssh,mysql@5.7
xcresultparser,libssh
sphinx-doc,a7ex/formulae/xcresultparser
scrcpy,sphinx-doc
libksba,scrcpy
ninja,libksba
kubeconform,ninja
watch,kubeconform
graphicsmagick,watch
xcodegen,graphicsmagick
swiftformat,xcodegen
direnv,swiftformat
httpie,direnv
make,httpie
bash,make
libzip,bash
meson,libzip
gnu-sed,meson
rabbitmq,gnu-sed
gmp,rabbitmq
vault,gmp
emacs,hashicorp/tap/vault
autoconf,emacs
fvm,autoconf
erlang,leoafarias/fvm/fvm
autoconf,erlang
openssh,openssh
clang-format,clang-format
azure,azure/kubelogin/kubelogin
libffi,libffi
mariadb,mariadb
git-gui,git-gui
perl,perl
ipython,ipython
gnuplot,gnuplot
bat,bat
tflint,tflint
act,act
aria2,aria2
grpc,grpc
vault,vault
openvpn,openvpn
gtk+3,gtk+3
gettext,gettext
sonar-scanner,sonar-scanner
cairo,cairo
python-tk,python-tk@3.11
icu4c,icu4c
libavif,libavif
cask,cask
grep,grep
midnight-commander,midnight-commander
carthage,carthage
oh-my-posh,jandedobbeleer/oh-my-posh/oh-my-posh
fish,fish
dart,dart-lang/dart/dart
pyenv-virtualenv,pyenv-virtualenv
exa,exa
sbt,sbt
aws-sam-cli,aws-sam-cli
tfsec,tfsec
vips,vips
k9s,derailed/k9s/k9s
hub,hub
eksctl,eksctl
k9s,k9s
wireshark,wireshark
elixir,elixir
kind,kind
ripgrep,ripgrep
php@8.0,php@8.0
rtmpdump,rtmpdump
youtube-dl,youtube-dl
readline,readline
sourcery,sourcery
